                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    132,                0.36012,                0.20153,                0.80569,                0.99986,                0.96164,                0.99467,                0.93721,                0.39845,                0.21362,                 0.9011,              0.0074062,              0.0074062,              0.0074062
                    133,                0.35843,                0.20218,                0.80451,                      1,                0.96397,                0.99482,                0.94242,                0.38199,                0.20545,                0.89951,              0.0073864,              0.0073864,              0.0073864
                    134,                0.35333,                0.19835,                0.80499,                0.99755,                0.96419,                0.99472,                0.93622,                 0.3913,                0.21673,                0.89919,              0.0073666,              0.0073666,              0.0073666
                    135,                0.35522,                 0.1981,                 0.8046,                      1,                0.96847,                0.99467,                0.93695,                0.39367,                0.21771,                0.89849,              0.0073468,              0.0073468,              0.0073468
                    136,                0.35249,                0.19632,                0.80591,                      1,                0.96488,                0.99463,                0.93446,                0.40141,                0.22148,                0.89833,               0.007327,               0.007327,               0.007327
                    137,                0.35151,                0.19698,                0.80575,                      1,                 0.9616,                0.99441,                0.92933,                0.41954,                0.23636,                0.90068,              0.0073072,              0.0073072,              0.0073072
                    138,                0.35201,                0.19758,                0.80401,                      1,                0.96154,                0.99416,                0.92815,                0.41438,                0.23596,                0.90152,              0.0072874,              0.0072874,              0.0072874
                    139,                0.34798,                0.19716,                0.80353,                      1,                0.96156,                0.99418,                0.93495,                0.41214,                0.23877,                0.90181,              0.0072676,              0.0072676,              0.0072676
                    140,                0.34703,                0.19879,                0.80239,                      1,                0.96155,                0.99448,                0.93456,                0.41175,                0.24055,                0.90163,              0.0072478,              0.0072478,              0.0072478
                    141,                0.34445,                0.19446,                0.80317,                      1,                0.96152,                0.99096,                0.92858,                0.42208,                0.23897,                0.90312,               0.007228,               0.007228,               0.007228
                    142,                0.34874,                0.19885,                0.80451,                      1,                0.96149,                0.98989,                0.92778,                0.42164,                0.23699,                0.90302,              0.0072082,              0.0072082,              0.0072082
                    143,                0.34187,                0.19445,                0.80354,                      1,                0.96149,                0.98981,                 0.9294,                0.41941,                0.23108,                0.90258,              0.0071884,              0.0071884,              0.0071884
